Rank	TF	Score	Pvalue
1	ZBTB18	2.421163533803382	16.848104917161265
2	GATA5	1.1018091532859704	7.70402342655143
3	MYOD1	0.8649438056830162	5.916666951791171
4	SOX17	0.7935818496681023	6.326317875748316
5	PRDM16	0.6919847786589122	5.7242225324579294
6	ZFP217	0.6574898164869547	5.513864582682913
7	ASCL1	0.6341035055055344	5.418731272071909
8	NHLH1	0.6155600765944551	5.341683592967058
9	FOXD2	0.5369444683857685	4.614381863982544
10	ZFP652	0.39435901366628956	3.449539319240614
11	ZIC3	0.38679503923030184	3.590930519464223
12	CREM	0.3842453550298866	3.562718407691591
13	FOXO4	0.3819691088477053	3.5731637602713135
14	FOSL2	0.37092937025730705	3.627099100355565
15	FOXF1	0.36519015360876717	3.58536993740546
16	SPIB	0.3408278701195342	3.4372133683901893
17	THRA	0.3380931415379307	3.4578857839036345
18	GATA3	0.33489538863189816	3.4654994208299854
19	OSR2	0.31530410115835017	3.6248118447768434
20	TCF7	0.2773500981126146	2.7109582336421454
21	ZIC1	0.25702184785301896	3.407225954237049
22	ZSCAN21	0.251852882312156	3.3258797437669614
23	EN1	0.2517914398059401	3.3992263746294498
24	NFKB1	0.2236592294893061	3.0685405021439465
25	GLI2	0.20565193250352926	2.900187114943094
26	GBX2	0.18709659877338797	2.794619830341503
27	IKZF3	0.1706223219347088	2.7309833591325514
28	ZIC2	0.1676545007693134	2.759496164506402
29	JDP2	0.16334151654790457	2.7784537285869533
30	ZNF75A	0.15075567228888181	2.4757808095556584
31	NEUROG1	0.14586499149789456	2.4811462464301712
32	FOSL1	0.14433756729740646	2.4933184002920257
33	BACH1	0.1386750490563073	2.5042389971537204
34	HOXA1	0.13483997249264842	2.514174079858833
35	CENPB	0.13130643285972254	2.5252177740713364
36	HOXD13	0.1259881576697424	2.532589634924875
37	HOMEZ	0.12403473458920847	2.544608126544972
38	ZFP105	0.11952286093343936	2.5532653106096745
39	TFEC	0.11785113019775793	2.3555237553391635
40	ISX	0.11704114719613057	2.576526365530526
41	CBFB	0.11180339887498948	2.5879193331164743
42	GATA1	0.10846522890932808	2.599644785531666
43	MZF1	0.10660035817780521	2.3828573176004397
44	HOXD1	0.10660035817780521	2.6230783804914495
45	RBPJ	0.105999788000636	2.241888843918332
46	ZBTB7B	0.10540925533894598	2.6550187187145866
47	NFIX	0.10540925533894598	2.4009071504213466
48	RUNX3	0.10314212462587934	2.665885475469338
49	FOS	0.10206207261596577	2.675751244531
50	RELA	0.10050378152592121	2.4212493991404926
51	ZKSCAN1	0.1	2.6923665449164673
52	HOXA9	0.09053574604251853	2.6989088308001215
53	GATA2	0.08574929257125441	2.706925814022952
54	GATA6	0.08391813582966891	2.7151154799212236
55	REST	0.07808688094430304	2.7227771278010664
56	LHX4	0.07647191129018725	2.4442585463502837
57	TGIF1	0.07624928516630233	2.7363828487049773
58	RHOX6	0.07537783614444091	2.742262874602261
59	STAT1	0.07453559924999299	2.7459903046305385
60	SPIC	0.07106690545187015	2.747498273096596
61	NR2F1	0.058025885318565944	2.749011495818877
62	WT1	0.05270462766947299	2.7512912621137957
63	NKX2-1	0.050251890762960605	2.7520538513911674
64	STAT5B	0.04714045207910317	2.753583058893355
65	TEAD3	0.044946657497549475	2.753583058893355
66	BHLHE40	0.041030496993110906	2.753583058893355
