Rank	TF	Score	Pvalue
1	ZBTB18	5.230008522011061	31.09543496291235
2	T	1.4452496268976165	6.984221754708301
3	EOMES	1.2203700202573007	6.176276951940963
4	SOX17	0.8479761495647625	3.9849221100364502
5	TEAD3	0.7796544061975487	3.5958886891675093
6	CENPB	0.7440542510637133	5.3965323648061485
7	RUNX3	0.7185915461899806	5.097447127889325
8	IRF2	0.6065857119201629	4.354477855878656
9	TBX1	0.5779944817621157	4.318770924508328
10	RBPJ	0.5625273645121658	4.567816844178537
11	ZNF75A	0.5272605104758786	4.297497207268975
12	ZFP652	0.49779320622299605	4.471625382093578
13	MECOM	0.4307439401723954	3.8932109811274813
14	BCL6	0.3491103903097007	3.2456456066846613
15	NRL	0.30051132918601253	3.0314613135678883
16	MAZ	0.2886751345948129	2.593249929870467
17	NHLH1	0.28683843577683615	3.0912008316367974
18	OTX2	0.27125351790183655	3.0627559182576647
19	MSX2	0.2672612419124244	2.6034790306190985
20	MYOD1	0.25	2.5913300383013507
21	STAT5B	0.24685832437067176	3.0744495488693815
22	ATF5	0.24253562503633297	2.6108950561962274
23	PRDM16	0.23677572372679828	3.094063325968193
24	TBX15	0.23537426732736022	3.1183815583882506
25	ZKSCAN5	0.21643131407548255	3.0154815969467563
26	GATA5	0.2071670126870882	2.9893337016575856
27	MYBL1	0.19611613513818404	2.5658436209011484
28	GATA6	0.18365391743257864	2.923458846167989
29	DMRTA1	0.1796053020267749	2.5490181001907786
30	MGA	0.17854328832955452	2.9605823169388827
31	FOS	0.17154888776644	2.970886175176986
32	ZFP410	0.1643989873053573	2.5640447960038273
33	EN1	0.16222142113076254	2.5731663897108774
34	JDP2	0.1543033499620919	2.361496476771265
35	OSR2	0.1543033499620919	2.5865251768527173
36	GATA4	0.15428117175239886	3.0722705101583756
37	MZF1	0.1270001270001905	2.58310055452273
38	SOX1	0.12650229954396516	2.59365905486726
39	GATA3	0.1259881576697424	2.6151091443486507
40	PRDM4	0.11180339887498948	2.6232611547220586
41	GRHL3	0.11043152607484653	2.634368500904486
42	NHLH2	0.10846522890932808	2.6446315538490808
43	ISL1	0.10660035817780521	2.6545863936615888
44	ZIC3	0.10540925533894598	2.6635594443513924
45	FOSB	0.10369516947304253	2.672771063946925
46	NKX2-1	0.10259783520851541	2.4206285719088214
47	CUX2	0.10206207261596577	2.6911543424304796
48	GCM2	0.09053574604251853	2.699670319725385
49	GATA1	0.0890870806374748	2.7076969040380163
50	STAT5A	0.08512565307587486	2.715200997503132
51	GFI1	0.08219949365267865	2.7214481676319338
52	FOSL1	0.08006407690254357	2.72780911593361
53	NR1I2	0.07905694150420949	2.733542866067239
54	GATA2	0.07715167498104596	2.7386321074295097
55	NEUROD1	0.07669649888473704	2.7430504958911115
56	CRX	0.07453559924999299	2.7460247664561166
57	ZIC2	0.07372097807744857	2.4517931721490527
58	JUN	0.07332355751067665	2.75129797629819
59	ZBTB7A	0.06711560552140243	2.7528191305834184
60	PITX3	0.06085806194501846	2.753583058893298
61	HOXA13	0.04740454631399772	2.753583058893355
