Rank	TF	Score	Pvalue
1	NHLH2	12.087367419844803	110.18943999833442
2	NFIX	6.865455568260451	38.60840210507661
3	GCM1	2.3527866414225653	20.79085493280195
4	ESR2	2.3527866414225653	26.84524291424043
5	NEUROD1	2.3527866414225653	24.178508656934213
6	HOXA6	2.3527866414225653	31.68449949485739
7	ZSCAN4	2.3527866414225653	19.225252589565116
8	GSC	2.3527866414225653	21.88645844949454
9	TFAP2E	2.3527866414225653	27.7389385416042
10	TFAP2C	2.3527866414225653	23.65479866324509
11	ZFP217	2.3527866414225653	37.74575458726625
12	ASCL1	2.3527866414225653	28.787651545638937
13	SMAD4	2.3527866414225653	21.50418056982582
14	ZFP42	2.3527866414225653	30.06014934714966
15	TEAD1	2.3527866414225653	26.06526977337589
16	TEAD3	2.3527866414225653	25.37222694512249
17	FEZF2	2.3527866414225653	24.74771041226205
18	ETV5	2.3527866414225653	19.820902384476852
19	MYOD1	2.3527866414225653	22.715418870572677
20	DMBX1	2.3527866414225653	22.289156793581213
21	ZBTB18	2.3527866414225653	19.51867252023456
22	TFAP2B	2.3527866414225653	23.169064731127747
23	TCF3	2.3527866414225653	33.94597433789073
24	TEAD4	2.3527866414225653	18.939835845390917
25	GCM2	2.3527866414225653	21.139709562736783
26	ZBTB1	2.3527866414225653	20.45577039200316
27	HOXC8	2.3527866414225653	20.13289412123558
28	RUNX3	0.9283372087840333	9.437472159420736
29	ARNT	0.9283372087840333	9.13949481133875
30	RUNX1	0.9283372087840333	9.771391458611049
31	CLOCK	0.9283372087840333	11.945640005792598
32	MYC	0.9283372087840333	10.154371620081747
33	RUNX2	0.9283372087840333	11.174647920170514
34	MYCN	0.9283372087840333	10.608390344671307
35	CBFB	0.9283372087840333	13.216511924611268
36	MITF	0.8601639301672941	12.079269233940465
37	NEUROG1	0.8601639301672941	13.350392336109223
38	LHX3	0.7096598497701665	42.89699927620023
39	SOX18	0.7096598497701665	40.66416768994554
40	SOX30	0.7096598497701665	40.86146541074723
41	SOX5	0.7096598497701665	40.272821471322914
42	SOX17	0.7096598497701665	40.07874934243634
43	HOXC4	0.7096598497701665	42.68812977706199
44	SOX6	0.7096598497701665	41.059862288866555
45	TBX15	0.7096598497701665	39.31286718959706
46	SCRT1	0.7096598497701665	41.66177206845782
47	PPARGC1A	0.7096598497701665	41.864690836942714
48	HOXB4	0.7096598497701665	42.480478182799146
49	SOX9	0.7096598497701665	39.50279909322552
50	LMX1A	0.7096598497701665	42.27403037265714
51	SOX10	0.7096598497701665	39.69374940334882
52	SOX21	0.7096598497701665	40.46795701444199
53	SOX7	0.7096598497701665	41.259370639889255
54	SOX8	0.7096598497701665	41.460002987549956
55	ARID3A	0.7096598497701665	42.06877247004485
56	SOX13	0.7096598497701665	39.88572910017123
57	SNAI2	0.7096598497701665	2.403189521953209
58	LHX5	0.7096598497701665	43.1071010508976
59	RHOX6	0.7096598497701665	46.41711172062861
60	GLI1	0.7096598497701665	49.30616658980742
61	DMRT1	0.7096598497701665	49.05625575708382
62	SIX4	0.7096598497701665	48.80808647740784
63	HHEX	0.7096598497701665	48.56163464595011
64	NKX6-3	0.7096598497701665	48.31687665489409
65	NKX6-1	0.7096598497701665	48.07378937986846
66	HOXD8	0.7096598497701665	47.832350166831844
67	NKX6-2	0.7096598497701665	47.592536819411464
68	MEOX2	0.7096598497701665	47.35432758665249
69	HOXB3	0.7096598497701665	47.11770115117872
70	EMX1	0.7096598497701665	46.882636617747266
71	DBX2	0.7096598497701665	46.64911350217557
72	PAX4	0.7096598497701665	46.18661157925408
73	PHOX2B	0.7096598497701665	43.31844972769807
74	LHX6	0.7096598497701665	45.957593764152165
75	ALX4	0.7096598497701665	45.73003933166146
76	NOTO	0.7096598497701665	45.50392969895546
77	HBP1	0.7096598497701665	45.27924663494079
78	ARX	0.7096598497701665	45.05597225143251
79	SMAD1	0.7096598497701665	44.83408899460716
80	DUXBL1	0.7096598497701665	44.61357963672256
81	TCF7	0.7096598497701665	44.39442726809369
82	TBX20	0.7096598497701665	39.12394288701279
83	TCF7L1	0.7096598497701665	43.9601274036778
84	UNCX	0.7096598497701665	43.744947609933604
85	PROP1	0.7096598497701665	43.53106019511688
86	LEF1	0.7096598497701665	44.17661528930688
87	GATA6	0.7096598497701665	38.010972697491525
88	TBR1	0.7096598497701665	38.936015551086655
89	SCRT2	0.7096598497701665	31.366246122936445
90	ZFP410	0.7096598497701665	30.4684133380795
91	POU3F1	0.7096598497701665	30.616489008866637
92	POU5F1	0.7096598497701665	30.765182951471246
93	POU2F2	0.7096598497701665	30.91450035058483
94	POU2F3	0.7096598497701665	31.06444645638959
95	ZKSCAN5	0.7096598497701665	31.215026585669364
96	OSR1	0.7096598497701665	31.518110521586237
97	PAX1	0.7096598497701665	30.17409639415669
98	OSR2	0.7096598497701665	31.670625305084855
99	SOX1	0.7096598497701665	31.823796068164256
100	FOXI1	0.7096598497701665	31.97762847806274
101	TCF7L2	0.7096598497701665	32.13212827577573
102	FOXJ2	0.7096598497701665	32.28730127734744
103	FOXC2	0.7096598497701665	32.443153375181396
104	PAX9	0.7096598497701665	30.32095081882281
105	RHOX11	0.7096598497701665	30.027845069442236
106	FOXP1	0.7096598497701665	32.75691881913119
107	STAT3	0.7096598497701665	28.73792809280104
108	POU4F3	0.7096598497701665	27.9032301745562
109	ELK1	0.7096598497701665	28.040994940233276
110	ELK4	0.7096598497701665	28.17929471605251
111	ERG	0.7096598497701665	28.318133673646656
112	ETV3	0.7096598497701665	28.457516033634363
113	FLI1	0.7096598497701665	28.597446066383128
114	THAP1	0.7096598497701665	28.878966485132196
115	MAZ	0.7096598497701665	29.88219191132606
116	NKX2-2	0.7096598497701665	29.020565667773326
117	ETV2	0.7096598497701665	29.162730118111284
118	GABPA	0.7096598497701665	29.305464367367705
119	EHF	0.7096598497701665	29.448773001468226
120	ELF4	0.7096598497701665	29.592660661925265
121	NR2C2	0.7096598497701665	29.73713204674098
122	FOXJ3	0.7096598497701665	32.599690539382664
123	FOXP2	0.7096598497701665	32.91484434408662
124	HOXB6	0.7096598497701665	38.749074714905106
125	TBX6	0.7096598497701665	37.287858563622535
126	NKX3-2	0.7096598497701665	36.22999422264624
127	ZBTB6	0.7096598497701665	36.404137100294975
128	CTCF	0.7096598497701665	36.579135720335046
129	MYF5	0.7096598497701665	36.75499853459564
130	USF1	0.7096598497701665	36.93173412073861
131	TBX5	0.7096598497701665	37.109351184771896
132	HNF1B	0.7096598497701665	37.46726522777254
133	SDCCAG8	0.7096598497701665	35.88424250175106
134	HNF1A	0.7096598497701665	37.64758028396736
135	GATA1	0.7096598497701665	37.828812977987894
136	STAT1	0.7096598497701665	49.811311903603325
137	GATA3	0.7096598497701665	38.194068974939455
138	GATA4	0.7096598497701665	38.37811149058109
139	GATA2	0.7096598497701665	38.56311007552725
140	IKZF3	0.7096598497701665	36.05669875894759
141	DMRT3	0.7096598497701665	35.712617362271544
142	FOXD2	0.7096598497701665	33.073473325817474
143	RFX3	0.7096598497701665	34.204112653639015
144	FOXO1	0.7096598497701665	33.23281205926946
145	FOXO6	0.7096598497701665	33.392866924265974
146	FOXP3	0.7096598497701665	33.5536443870389
147	FOXF2	0.7096598497701665	33.71515100179721
148	FOXA1	0.7096598497701665	33.87739341232822
149	RFX7	0.7096598497701665	34.04037835364039
150	NFYA	0.7096598497701665	34.36860323484197
151	TFEC	0.7096598497701665	35.54181536811191
152	NFYB	0.7096598497701665	34.533857116138535
153	NFYC	0.7096598497701665	34.69988141458455
154	PBX3	0.7096598497701665	34.86668334724149
155	NR1H2	0.7096598497701665	35.03427023306017
156	SIX1	0.7096598497701665	35.202649494807645
157	USF2	0.7096598497701665	35.371828661037455
158	STAT5B	0.7096598497701665	49.55784359147765
159	IRX4	0.7096598497701665	51.906748470338414
160	STAT5A	0.7096598497701665	50.06659720838269
161	TBP	0.7096598497701665	91.03069135735078
162	FOXD3	0.7096598497701665	86.47827047366482
163	FOXL1	0.7096598497701665	87.19773226688065
164	FOXO4	0.7096598497701665	87.93202936442017
165	ZBTB49	0.7096598497701665	88.68178647848995
166	BSX	0.7096598497701665	89.44766863132926
167	DLX6	0.7096598497701665	90.23038469964015
168	LBX2	0.7096598497701665	91.84939747169207
169	ALX3	0.7096598497701665	99.1802311924962
170	LHX1	0.7096598497701665	92.68736901659096
171	BCL6B	0.7096598497701665	93.54553457819998
172	BARX2	0.7096598497701665	94.42489154032543
173	HOXB7	0.7096598497701665	95.32651305304529
174	ZSCAN26	0.7096598497701665	96.25155590664019
175	ESX1	0.7096598497701665	97.20126945572477
176	FOXB1	0.7096598497701665	85.77305638918787
177	ZNF232	0.7096598497701665	85.08153665116464
178	DEAF1	0.7096598497701665	84.40318952195327
179	VAX1	0.7096598497701665	83.7375225237349
180	PDX1	0.7096598497701665	83.08407029069014
181	MSX1	0.7096598497701665	82.44239261471037
182	MEOX1	0.7096598497701665	81.81207266407432
183	HOXD3	0.7096598497701665	81.19271535705718
184	HOXA5	0.7096598497701665	80.58394587456229
185	HOXC6	0.7096598497701665	79.98540829775956
186	AHCTF1	0.7096598497701665	79.39676435833516
187	PHOX2A	0.7096598497701665	78.81769229036118
188	NR2E1	0.7096598497701665	78.2478857740251
189	ALX1	0.7096598497701665	77.68705296253958
190	HDX	0.7096598497701665	77.134915584504
191	DMRTC2	0.7096598497701665	76.59120811478488
192	PRDM4	0.7096598497701665	76.05567700775083
193	SHOX2	0.7096598497701665	98.17700576630077
194	SATB1	0.7096598497701665	100.21253963175371
195	NOBOX	0.7096598497701665	75.0081853887634
196	PAX7	0.7096598497701665	147.5459250551937
197	HOXB5	0.7096598497701665	129.3543275866525
198	HOXC5	0.7096598497701665	131.81131190360324
199	MNX1	0.7096598497701665	134.45045594005785
200	VAX2	0.7096598497701665	137.3009486533131
201	PAX6	0.7096598497701665	140.39961064624376
202	BBX	0.7096598497701665	143.79381082921836
203	LMX1B	0.7096598497701665	151.74043189587897
204	CPEB1	0.7096598497701665	101.27566775923137
205	HOXD1	0.7096598497701665	156.49577154804965
206	HOXA1	0.7096598497701665	161.98540829775956
207	GLIS3	0.7096598497701665	168.4782704736648
208	PRDM5	0.7096598497701665	176.42489154032543
209	TOPORS	0.7096598497701665	186.669867942206
210	ZNF713	0.7096598497701665	201.10935118477187
211	HOXA7	0.7096598497701665	127.05597225143251
212	HOXA4	0.7096598497701665	124.89699927620015
213	HOXA3	0.7096598497701665	122.86146541074723
214	HOXA2	0.7096598497701665	120.93601555108665
215	GSX2	0.7096598497701665	119.1093511847719
216	DLX5	0.7096598497701665	117.3718286610374
217	DLX4	0.7096598497701665	115.71515100179727
218	DLX3	0.7096598497701665	114.13212827577573
219	DLX2	0.7096598497701665	112.61648900886664
220	DLX1	0.7096598497701665	111.16273011811126
221	EN1	0.7096598497701665	109.76599629561122
222	LHX9	0.7096598497701665	108.42198216818136
223	NKX1-1	0.7096598497701665	107.1268522591568
224	SHOX	0.7096598497701665	105.87717500150367
225	EN2	0.7096598497701665	104.66986794220603
226	NKX1-2	0.7096598497701665	103.50215193480764
227	BARX1	0.7096598497701665	102.37151260698604
228	RAX	0.7096598497701665	75.52807998730728
229	HMX2	0.7096598497701665	74.49577154804976
230	RBPJ	0.7096598497701665	50.32372574431693
231	RORC	0.7096598497701665	57.12761301962786
232	HIC1	0.7096598497701665	55.3009486533131
233	ZFP691	0.7096598497701665	55.59895999503121
234	TBX3	0.7096598497701665	55.899486230115826
235	T	0.7096598497701665	56.202570166032785
236	TBX1	0.7096598497701665	56.50825571261072
237	SPIB	0.7096598497701665	56.81658792022219
238	NR6A1	0.7096598497701665	57.441378463577706
239	HOXA9	0.7096598497701665	60.05628830548389
240	MGA	0.7096598497701665	57.75793297026391
241	TBX21	0.7096598497701665	58.07732656871244
242	IRX6	0.7096598497701665	58.39961064624367
243	GZF1	0.7096598497701665	58.724837998086855
244	SP140	0.7096598497701665	59.05306287928843
245	BCL6	0.7096598497701665	59.384341059031016
246	NR5A2	0.7096598497701665	55.00541046326933
247	DDIT3	0.7096598497701665	54.7123047138887
248	FOXG1	0.7096598497701665	54.4215916911875
249	ZNF75A	0.7096598497701665	54.13323264591469
250	NKX2-5	0.7096598497701665	53.84718976255775
251	NKX2-8	0.7096598497701665	53.56342612957863
252	FOXD1	0.7096598497701665	53.28190571082965
253	NR1H3	0.7096598497701665	53.00259331809312
254	PRDM11	0.7096598497701665	52.72545458467974
255	MYBL1	0.7096598497701665	52.45045594005745
256	IRX5	0.7096598497701665	52.177564585445396
257	KLF8	0.7096598497701665	27.629289227478978
258	IRX3	0.7096598497701665	51.6379762699176
259	IRX2	0.7096598497701665	51.371217363304424
260	NFIA	0.7096598497701665	51.10644181262782
261	CPHX1	0.7096598497701665	50.843620342860845
262	DMRTA1	0.7096598497701665	50.58272432239329
263	ZBTB12	0.7096598497701665	59.71872987750672
264	MAFK	0.7096598497701665	60.39707700671809
265	CEBPA	0.7096598497701665	73.99062623425397
266	MEIS1	0.7096598497701665	70.18838934340192
267	OTP	0.7096598497701665	67.58145892064667
268	TLX2	0.7096598497701665	68.0029093721445
269	MSX3	0.7096598497701665	68.42940725438015
270	PRRX1	0.7096598497701665	68.86107493375343
271	SIX3	0.7096598497701665	69.29803928116903
272	SIX6	0.7096598497701665	69.74043189587897
273	MEIS2	0.7096598497701665	70.64205340859871
274	LHX2	0.7096598497701665	60.74115840339414
275	TGIF2	0.7096598497701665	71.10157136507507
276	BARHL1	0.7096598497701665	71.56709626219373
277	SIX2	0.7096598497701665	72.03878723109895
278	BARHL2	0.7096598497701665	72.5168098112783
279	ARID5A	0.7096598497701665	73.00133629934055
280	ONECUT3	0.7096598497701665	73.4925461218543
281	ATF5	0.7096598497701665	67.16493782724561
282	PBX1	0.7096598497701665	66.75323211449131
