Rank	TF	Score	Pvalue
1	ZFP740	1.5744121689957047	8.59145778568751
2	OSR2	1.2091354499320313	7.33545035247414
3	RHOX11	1.110013199682664	7.303368253053577
4	INSM1	1.0114264184717208	7.019099194830119
5	DEAF1	0.8957576651608414	6.26562928049708
6	NFIX	0.784897860702189	5.555415851843179
7	WT1	0.634844677911097	4.425289038636265
8	ZBTB18	0.5738949538893146	4.188680947458636
9	ETS2	0.5535305972205222	4.211272737030981
10	ASCL1	0.5479519759883841	4.294684963032353
11	MAZ	0.4982146628750622	3.895466249616277
12	YY1	0.4405445868171128	3.6170673004397713
13	HIC2	0.4082482904638631	2.7489645876075315
14	FOXC2	0.3660306687518197	4.289892178435139
15	OSR1	0.33337192500728974	3.8498994076885538
16	NHLH2	0.3237565225895978	3.8053675604300565
17	ZFP202	0.24253562503633297	2.642615373497108
18	ZFP281	0.19182026072246738	2.886926485812978
19	CENPB	0.17677669529663687	2.510902376622255
20	ISL1	0.1744671122623092	2.8479879445459915
21	ZSCAN10	0.17203512077484745	2.3371932323266833
22	KLF4	0.17149858514250882	2.348063997285351
23	ZFP239	0.17149858514250882	2.5641659146089637
24	SPZ1	0.16222142113076254	2.5628563330325846
25	GATA5	0.15811388300841897	2.5701094691609114
26	MYOD1	0.15249857033260467	2.567369970590846
27	MITF	0.14760562021966417	2.9693861527292142
28	EGR2	0.14433756729740646	2.5733792249669705
29	EGR1	0.11785113019775793	2.3427619861010953
30	BACH2	0.11704114719613057	2.5555434022764416
31	CDX2	0.11470786693528087	2.565424843984829
32	MECOM	0.11396057645963795	2.577002259068479
33	SMAD4	0.10783277320343841	2.587941878835352
34	HOXB8	0.10540925533894598	2.596570391784553
35	GATA2	0.10425720702853739	2.6059620324501225
36	CEBPA	0.10314212462587934	2.6171650413041334
37	ZKSCAN5	0.10206207261596577	2.628665690917387
38	SP1	0.09622504486493763	2.646880308909658
39	EGR3	0.09622504486493763	2.396007025710162
40	BATF	0.0827605888602368	2.65631492988814
41	ZNF75A	0.079555728417573	2.412683051979286
42	NEUROD1	0.07905694150420949	2.6764308448420593
43	KLF15	0.07715167498104596	2.421976230799146
44	KLF6	0.07715167498104596	2.6936896819514686
45	NFYC	0.07495316889958614	2.4300939661066536
46	KLF10	0.07453559924999299	2.7090027990172985
47	GATA3	0.07372097807744857	2.7165589675556703
48	ZFP524	0.07254762501100116	2.4409554594008114
49	ZSCAN21	0.07216878364870323	2.729922892930688
50	LHX3	0.07142857142857142	2.7349657659588047
51	CUX1	0.0629940788348712	2.7400860511144742
52	KLF16	0.05862103817605492	2.449893885335598
53	TP53	0.05832118435198043	2.747519568255939
54	MZF1	0.0563436169819011	2.752056543671813
55	HOXC8	0.0563436169819011	2.4517904834318074
56	ATF3	0.048592953074986255	2.753583058893355
57	GCM1	0.048592953074986255	2.4525530632293453
58	FOXB1	0.045407660918649985	2.753583058893355
