Rank	TF	Score	Pvalue
1	ZBTB18	6.475502892530912	47.80788399828674
2	NEUROG1	1.7335287515608775	9.310989378691886
3	GATA5	0.6666666666666666	4.240184213281282
4	NHLH1	0.6605163509597344	5.75507587911693
5	GLI1	0.5545764293827196	5.271622557161777
6	NHLH2	0.5341190022577605	5.13442388454547
7	FOSB	0.4372294881024792	4.38524673486512
8	CRX	0.4169989111271935	4.177932708735625
9	ASCL1	0.4002402803701156	4.0265777462850565
10	NR1I2	0.3450792342126079	3.614130973663862
11	USF2	0.2894884592925726	3.082285997653969
12	ESRRA	0.2782490768980417	3.023661771153172
13	ELF5	0.26933756729740643	3.017283094799268
14	ZSCAN10	0.2638604282308458	3.015288423510526
15	PITX3	0.24439175937050478	2.912764509603676
16	SOX9	0.24089537018703577	2.9327863106794325
17	MAF	0.23570226039551587	2.5666786312713725
18	TEAD3	0.22360679774997896	2.5594354852431707
19	HNF4A	0.2164350673603994	2.952606356902436
20	ZIC3	0.19053574604251855	2.820441976341897
21	NEUROD1	0.1889822365046136	2.5127709516089
22	RFX7	0.18624133043273688	2.859481283054947
23	KLF1	0.17677669529663687	2.506396289193219
24	HOXA13	0.17149858514250882	2.510216131067807
25	DNAJC21	0.1690308509457033	2.5220268376109516
26	NFE2L2	0.16666666666666666	2.5302761317071827
27	MECOM	0.1525541327534342	2.835281990281146
28	STAT3	0.14475212893924808	2.51221735229052
29	RORA	0.14433756729740646	2.534092214020177
30	TFCP2L1	0.1336306209562122	2.5354135685749384
31	NR2F1	0.12909944487358055	2.5443372016441685
32	HINFP	0.12309149097933272	2.5543849667949416
33	NFIX	0.11785113019775793	2.564706716828198
34	JDP2	0.11470786693528087	2.576273765609983
35	NKX2-2	0.1091089451179962	2.58715083592125
36	NFATC4	0.10721125348377948	2.5983482593413783
37	CREM	0.10660035817780521	2.609842044098116
38	T	0.10482848367219183	2.6205794239854754
39	STAT1	0.10369516947304253	2.3935168525551376
40	BCL6	0.10314212462587934	2.6418172253793273
41	WT1	0.10206207261596577	2.652288130627369
42	CBFB	0.10101525445522107	2.6624147647439145
43	TP53	0.09622504486493763	2.6721839205442848
44	RHOX11	0.09284766908852593	2.6815633484998784
45	CPHX1	0.08980265101338746	2.69052021217459
46	GATA3	0.08703882797784893	2.699021331417782
47	SMAD4	0.08333333333333333	2.7070334594312726
48	HOXA9	0.0827605888602368	2.7145235918519006
49	OBOX1	0.08164965809277261	2.7214593046207938
50	OSR2	0.079555728417573	2.727809115933667
51	BATF	0.07808688094430304	2.733542866067296
52	NKX2-4	0.07715167498104596	2.7386321074295665
53	OBOX6	0.07669649888473704	2.7430504958911683
54	GLI2	0.07453559924999299	2.7467741734234323
55	ZBTB7A	0.07293249574894728	2.749782131397353
56	LHX3	0.060522753266880246	2.752056543671813
57	GSC	0.05862103817605492	2.753583058893355
58	ATF6	0.05773502691896257	2.753583058893355
59	ZIC1	0.05	2.753583058893355
