,Astro,CA1sp,CA1sp.SUB.sp.Kcnip1,CA2sp.IG,CA3sp,Car3,CR,DG,Endo,IT.RHP.Dcn,L2.3.IT.Cdc14a,L2.3.IT.Cxcl14,L2.3.IT.Ndst4.Endou,L2.3.IT.Otof,L2.3.IT.Plch1,L4.IT,L4.5.IT,L5.ET,L5.IT,L6.CT,L6.IT,L6b,Lamp5,Lamp5.Lhx6,Ly6g6e,Macrophage,Meis2,NP,Oligo,PIR.Six3,POST.PRE.PAR.Ptgfr,Pvalb,RHP.Cplx3,RSP_ACA.IT.Scnn1a,RSP.ACA.L4.5.IT,Serpinf1,SMC,Sncg,Sncg.Ndnf.HPF,Sst,Sst.Chodl,SUB.Sp.Ndst4,Vip,VLMC
Sample_082615_1_p1Het_H5TJTBBXX,0.044357730339256954,0.02958105945847801,0.012328646254433154,0.020929740224714867,0.030663718358184936,0.013147170007084787,0.0026680173181987507,0.0,0.040513077398294114,0.08230728672693083,0.0,0.0,0.015215365796487187,0.009657428816773726,0.02816339849063763,0.03262920748354059,0.14567636521967076,0.13979712640410266,0.0,0.0,0.0,0.008596822870140566,0.0905063868836704,0.0,0.0,0.004374605445369081,0.0,0.0006927992400205963,0.018230522748049354,0.010487945778475153,0.0,0.017731034999614523,0.03297922189410398,0.0,0.03740636882928443,0.008880436704559614,0.0,0.033029123698279886,0.0,0.035505465184651974,0.014856566053705788,0.0,0.01493831080493484,0.02414905056835045
Sample_082615_2_p1Het_H5TJTBBXX,0.044729676130493876,0.025723978256954536,0.0167531665530526,0.02625590874293834,0.025523364067359083,0.013577031274520054,0.0,0.0,0.04169982026324611,0.050789633718042786,0.0,0.0,0.031055799214809204,0.01958365000899899,0.024623879714054924,0.03332817091023503,0.1282275419766689,0.13921476786158388,0.0,0.0,0.0,0.0168409403805693,0.10156940720039943,0.0,0.0,0.0022685744398846176,0.0,0.006979850423466647,0.01873832744067976,0.009368394489138265,0.0,0.020342174702495594,0.03243925254878323,0.0,0.02960798858580748,0.0,0.0,0.05492725281361727,0.0,0.027344295214848633,0.0242630444539389,0.0,0.012922079783001585,0.021302028830410845
Sample_082615_3_p1Het_H5TJTBBXX,0.04473864972989762,0.026008580364519886,0.022776197018582384,0.020617523623978243,0.02293735030681007,0.010532496620395971,0.0,0.0,0.040639322670585884,0.07104244882903146,0.0,0.0,0.022429123960667405,0.023292317187227244,0.016886791029235765,0.041128631370174015,0.1213421090552952,0.15246324072367415,0.0,0.0,0.0,0.023435670530750075,0.07962542448216214,0.0,0.0,0.003502753536805592,0.0,0.01597040579726844,0.0173259127370205,0.017194865256450195,0.0,0.013871262182341977,0.033307148482194016,0.0,0.03001505177583452,0.010972474734326026,0.0,0.026049044937942686,0.0,0.039770686732512904,0.009060649391703708,0.0,0.013637932126186306,0.029425934806425733
Sample_082615_5_p1WT_H5TJTBBXX,0.03946567546461609,0.02646385140889291,0.013600254591656192,0.009765252909530118,0.04297310717958862,0.0042356442161247485,0.0015936494740558047,0.0,0.04376243675921133,0.07705668147365087,0.0,0.0,0.017052223100982068,0.029698311341418468,0.028304684124536492,0.023591161391664457,0.10804692758623016,0.13847504355094004,0.0,0.0,0.0,0.011061285215957135,0.08572529873385298,0.0,0.0,0.0042882869521093355,0.0,0.0,0.016711209918842007,0.014258919788148998,0.0,0.019080827485182767,0.03430981434129207,0.0,0.07085982463583743,0.008301331101090341,0.0,0.03099249180229527,0.0,0.034968764019749035,0.011071519577001514,0.0,0.018763785848031175,0.03552173600751177
Sample_082615_6_p1WT_H5TJTBBXX,0.04385383808624531,0.024137602178723204,0.016243744997304695,0.018390797437589704,0.035099881585600214,0.01268474198429236,0.0024000192114147956,0.0,0.04588904167052233,0.07842455479365455,0.0,0.0,0.016048517583639697,0.02525700094224579,0.03122053447942585,0.03883782836331967,0.11649832339957263,0.12232268650003353,0.0,0.0,0.0,0.005675656290133992,0.0987305729695097,0.0,0.0,0.0023480489438592283,0.0,0.0,0.020310105677590343,0.017094852566661312,0.0,0.024359555346489457,0.0196481564309068,0.0,0.06218078655859517,0.01097429758794144,0.0,0.034241411325485124,0.0,0.03598572075571144,0.010311091002616395,0.0,0.005017832367299161,0.025812798963616115
Sample_082615_8_p1WT_H5TJTBBXX,0.04879852282807347,0.02755248661792876,0.017321151871961527,0.007333425475269319,0.04947029623580226,0.0016099651157288279,0.0,0.0,0.048579085863367885,0.07905503138860398,0.0,0.0,0.015272065573965142,0.014663927935719964,0.03612010002776606,0.04078669724408177,0.1076549127041631,0.13729369673245168,0.0,0.0,0.0,0.0,0.08828780473157763,0.0,0.0,0.002112810248120852,0.0,0.0,0.011832868107234938,0.010927935133180824,0.0,0.0202981453452279,0.044130360574943885,0.0,0.05155919558037079,0.018440377802000064,0.0,0.020103783898300913,0.0,0.03854404570647901,0.009838025442595068,0.0,0.01453361576765398,0.03787966604743041
Sample_111314_1_p1Het_H5TJTBBXX,0.04813006363061834,0.02729658560002628,0.009350290299311425,0.01829836029528149,0.032967080105372484,0.02045405671343095,0.0,0.0,0.03785380971837223,0.03608181518614964,0.0,0.0,0.0435621796980762,0.0392827695881769,0.03183535499663729,0.017576111713023496,0.08761271400317039,0.11623059929595109,0.0,0.0,0.0,0.0,0.06926225203516032,0.0,0.0,0.0,0.0,0.0,0.0160080001382703,0.04964683699458547,0.0,0.030190233319142473,0.02541587475254797,0.0,0.06450034025406406,0.018132137324671792,0.0,0.04202770663719466,0.0,0.03471775370007501,0.03837877467877878,0.0,0.01833818327020064,0.02685011605171015
Sample_112114_1_p1WT_H5TJTBBXX,0.0462558909992429,0.02438561446969937,0.012834834592248831,0.020951045333038966,0.028163230157857086,0.013593316605468062,0.0,0.0,0.0450293654749018,0.04321284043463003,0.0,0.0,0.03608827060488513,0.027875770041812728,0.026427181652413614,0.02280459897877064,0.12593122902045328,0.1458364662104134,0.0,0.0,0.0,0.007343671740485839,0.0848266040977108,0.0,0.0,0.0016817748459403837,0.0,0.011829277317550046,0.017882202222706322,0.00916433415495954,0.0,0.0269980432974542,0.05022308935985238,0.0,0.035718350875166345,0.0,0.0,0.05325289260598884,0.0,0.0241587958045831,0.02490687007425415,0.0,0.01252556396160541,0.02009887506590642
Sample_5_p1_WT_112114_2_C76VFACXX,0.04839111532673667,0.03619825206105633,0.0,0.010385771532132203,0.03951261129830415,0.010029979516582747,0.0,0.0,0.04279479830766416,0.07012440843114046,0.0,0.0,0.02496083841900387,0.018439759921856744,0.03453698816809963,0.02714433109245156,0.12672210927275904,0.14237493921312855,0.0,0.0,0.0,0.003974177055288528,0.0811076287484253,0.0,0.0,0.0,0.0,0.0073485046937089345,0.015916685479478682,0.011937149992352247,0.0,0.025420447614698763,0.04354559124363613,0.0,0.033698647846060505,0.0045370263647280425,0.0,0.05545935804670186,0.0,0.025221581059333437,0.026494629271674248,0.0,0.00457658008827745,0.029146089934720076
Sample_6_p1_WT_113014_2_C76VFACXX,0.05150036056376149,0.031133761030018848,0.0024283581091509923,0.012299603779850874,0.024071880057710028,0.014765003721949388,0.0,0.0,0.037523290951133485,0.05221117535374212,0.0,0.0,0.02506605894981359,0.031196923836742562,0.034889347471305183,0.02600585130318574,0.1326167679178435,0.13820668099544797,0.0,0.0,0.0,0.005358026458274252,0.10076328411115684,0.0,0.0,0.0,0.0,0.005520449567982218,0.021974318872780955,0.019602886675270166,0.0,0.019943941056209995,0.044660426540954944,0.0,0.03491747479951016,0.0,0.0,0.04284901935817477,0.0,0.022399190386482137,0.03721532210136164,0.0,0.021186534542212834,0.009694061487973272
