"","Astro","CA1sp","CA1sp.SUB.sp.Kcnip1","CA2sp.IG","CA3sp","Car3","CR","DG","Endo","IT.RHP.Dcn","L2.3.IT.Cdc14a","L2.3.IT.Cxcl14","L2.3.IT.Ndst4.Endou","L2.3.IT.Otof","L2.3.IT.Plch1","L4.IT","L4.5.IT","L5.ET","L5.IT","L6.CT","L6.IT","L6b","Lamp5","Lamp5.Lhx6","Ly6g6e","Macrophage","Meis2","NP","Oligo","PIR.Six3","POST.PRE.PAR.Ptgfr","Pvalb","RHP.Cplx3","RSP_ACA.IT.Scnn1a","RSP.ACA.L4.5.IT","Serpinf1","SMC","Sncg","Sncg.Ndnf.HPF","Sst","Sst.Chodl","SUB.Sp.Ndst4","Vip","VLMC"
"Sox17",0.000713848795633311,0,0,0,0,0,0,0,3.33234404637525,0,0,0,0,0.000228535173280562,0,0.000381199182709411,0.000395685772259236,0.000347616439598769,0.00199343649370741,0,0,0,0.001646790358464,0,0,0,0,0.00061043344831347,0,0,0,0.0372192499567122,0,0,0,0,0.0039836044859767,0,0,0.000372860236987598,0.00251140282811574,0,0.000326545468228617,0.00370666941475907
"Rgs20",3.94986347878559,0.284285709302964,0.961013583206638,0.1242453324894,0.173150077940471,4.29370015238884,0.179095290259443,0.0634052073580358,0.012996509635499,0.374635513418325,1.8296231325182,0.807888088965104,2.11331361000673,3.19110278967205,2.51218438022078,2.04072705655943,2.73690168589262,2.89646870223541,2.40030842732398,2.42712263384297,2.30560238278267,3.98944013274919,0.462058799316636,0.165724203923954,0.803905256244472,0.0236866304576967,0.670833445985873,0.338376065595743,0.307693797622925,1.22003739589742,1.26147564672671,1.1393832958704,1.18972098199247,1.49459669247916,2.50473388830407,1.09006500166375,0.0360726637318485,1.53226655462893,1.12654354056966,1.84010387150515,0.991886969249827,2.58245252272131,1.0245886297321,0.0250381349044076
"Atp6v1h",2.40182970839962,5.74961355758759,5.97017878517939,5.74854688087354,6.00050566964607,6.37978096235978,4.41377571136564,4.98775499794294,1.8160846040006,5.47918300928261,5.66260628962322,4.94447368839027,5.85142724512411,5.82433379975617,5.83018744179228,5.71272390963143,6.02516936949165,5.9997694891716,6.19165809267577,5.99671334505366,6.07343258650259,6.22044624172599,5.89279298346572,5.90308080738592,5.69927218362941,1.67077257454034,4.18817434475899,5.98493775198922,2.83574378094477,5.14720969506729,5.55903640994899,5.97093299096496,5.51504932764621,5.95945066492041,5.8302421995817,5.81639246824167,2.03831188004442,6.03488837545129,6.13451586359476,6.12031272876908,6.09285108401675,5.82068211360668,5.59092859510331,2.5139143455981
"Oprk1",0,0.106780484758695,0.0181692444681754,0,0.00501382527238037,4.66788383824447,0,0,0,0,0.0693450004164279,0.00331254944735964,0.0412628007339653,0.00668197638681848,0.00498224068327914,0.00782863148396447,0.0393978781850401,0.00281133503826279,0.10816871557568,0.115069667672176,0.947685779707256,0.00536167271298893,0.0099577981498887,0.0135242888626805,0.0242340967963761,0,0.0603803473991113,0.00122086689662694,0,0.181317456662012,0,0.000843524245759063,0,0.0687331848981678,0.0468004366566436,0.0838452659138011,0,0.0279789678646191,0.309236703399072,0.361541828190787,0.733817669498846,0.00339543863382722,0.0470040787916015,0
"Npbwr1",0,0.157061121490493,1.22895460808707,0,0.140363323527756,0.748912871831116,0,0.00205699075849187,0,0.00972955074527657,0.579928904520006,0,0.0140300573166978,0.00683415566951735,0.0137758989495054,0.0123716240270808,0.109842694928198,0.0136842312832282,0.0811767611712985,0.00479769423230264,0.194624033341444,0.00588762257776232,0.00135886753589553,0.0313286357452255,0,0,0,0,0.00292467164793226,0,0.0945477563742468,0.00135824836342703,0,0.00343142168594032,0,0,0.00631386372797764,0.00128479551540305,0,0.126106686858901,0.0111994291788345,0.375726365146317,0.00207428968435665,0
"Sntg1",0.0212188084148353,2.7180721640427,2.4146856967749,2.54899195612338,2.80828477738676,1.90565732294322,0.826098287086981,1.74746405695202,0.012996509635499,1.78891103682311,2.31776990468723,1.38311712208002,1.05736669016745,2.69823379454958,2.6209458387945,2.83059935653199,2.88374258554976,2.24217866765542,2.22461902788725,1.19163643323681,1.85899746538589,0.922627349735118,3.06384305198467,2.21609551106664,0.723779959874204,0.0389373271409897,0.924269044483951,2.22386174647922,0.785421092742376,0.896757223005655,1.06153051318725,2.87226743358721,0.757681177972514,3.17411805956325,2.73780156298686,4.17712218780643,0.209331375916507,3.38805724680985,3.03290902982272,3.03728856579268,2.27853124512433,1.53524790593081,3.07589569374381,0.074367982440487
"Adhfe1",3.28068662265631,0.0105028966672853,0.049835868979299,0,0.0514427113495067,0.0453841518639948,0,0.0426847437882884,0,0.01497866136777,0.0201720374980005,0.0193162169729843,0.0142444352689323,0.0262005759595707,0.0348391145803814,0.0268848082996473,0.0363792359922219,0.033490039243164,0.0233354099151836,0.0129634348888143,0.0173181173885188,0.0173255972697883,0.172872173509943,0.263304919020416,0.0232652333258899,0.229669943169641,0.0113134310991588,0.0104108650828973,0.254428170611944,0,0,0.552091542457129,0.0360568350219868,0.131988989541962,0.0326890373816502,0.492976056986567,0.0560764657606784,0.395834425479911,0.29561379928288,0.147524652934919,0,0.0184563394775941,0.15712173038044,0.811815601116391
"2610203C22Rik",0.150041646552602,0.0122917051632485,0.0323240612844675,0.184443972705697,0.0242468037892088,0.053294748962163,0,0.0156985944303945,0,0.0103972077083992,0.0242122146937252,0.0138024466280536,0.0216611998423614,0.031744530357901,0.0736762624708313,0.045089445818641,0.0363947218162428,0.024284001343073,0.0424887708848769,0.025501028697517,0.0161582314301572,0.0598612333505746,0.0213565512244722,0.0129837642697685,0.0122175591041831,1.11315273117035,0,0.0154401121278262,0.00877401494379678,0,0,0.0764784085591493,0.0823670256251893,0.103990201935949,0.0347293357678331,0.0277082941435976,0.0137810073149332,0.00983914491231905,0.023550257211776,0.128015257055457,0.0125570141405787,0.0204488745173428,0.0175869833993901,0.0541770112220417
"3110035E14Rik",0.124206247244652,5.42340345949461,5.45485475929024,3.6014101625111,2.54350749546746,5.03022971006471,0.213276055556906,1.76550908033536,0.114866896047203,3.75071692729469,3.47672051702865,1.97764906567867,0.559459948106636,4.60101894348116,4.45535343884629,4.64880191873829,5.25258727699696,5.33432065855898,5.59077017081243,6.53901503384055,5.58476828630962,6.45378129561089,0.242300815458722,0.0997039158771998,0.42226733248359,0.221410745112385,0.304353909044276,0.299424245747842,2.04624145669703,2.04132397526231,4.63296488610675,0.296899499951357,4.28477294612105,4.58088913136067,5.14358457404027,0.263229233781465,0.452264264315227,0.145922313513172,0.395896034885479,0.81767483986035,0.0503395480792234,5.06523745026908,0.502189266506371,0.116624742930693
"Cops5",2.09099099340297,4.67355984485715,4.83467567821336,4.79117159701243,4.82467002576455,4.9654160474189,2.30414983591346,4.06471300689889,1.67369971247753,4.57932912580456,4.73076400946537,3.83467154076227,5.02731848141777,4.80938358430415,4.89673677500373,4.60548598794217,4.94799300248678,5.07449853201754,5.16448433365172,4.99181471555432,5.0079576003219,5.31223805821677,4.78600987636235,4.94844557969865,4.81718221341229,1.03826309154648,2.77481439114158,4.8394725176086,3.14278066366592,2.68011220260587,4.52786118413855,4.90550232770437,4.40309778833662,5.10917296234477,4.71570667352472,4.73113846917883,2.16387708904491,5.05075488546672,5.14407789286663,4.98516263044786,5.09578058434754,4.94140225049743,4.28098053828683,2.00286622148944
"Cpa6",0,0.0148051202013572,0,0,0.0162962885260267,0.00398875592044566,0.253809628414746,0.0111325880046839,0,0.811608809090236,0.0150625381534636,0.0106916622441184,0.0256605737500511,0.030420862763201,0.0132778903864781,0.0162853270547448,0.0282264004955077,0.0489185009055411,0.369322635538694,0.78597590499216,0.0994576942210481,0.0328757225513843,0.0243854034891554,0,0.0104310566387955,0,1.77583967795683,0.0207388081184961,0,0,0.176408081309713,0.00672535585290468,0,0.0134061891143674,0.00245796872538988,0,0,0.0118002378204004,0,0.0269614939977623,0.00956180191889587,0,0.000907780074716132,0
