,Astro,CA1sp,CA1sp.SUB.sp.Kcnip1,CA2sp.IG,CA3sp,Car3,CR,DG,Endo,IT.RHP.Dcn,L2.3.IT.Cdc14a,L2.3.IT.Cxcl14,L2.3.IT.Ndst4.Endou,L2.3.IT.Otof,L2.3.IT.Plch1,L4.IT,L4.5.IT,L5.ET,L5.IT,L6.CT,L6.IT,L6b,Lamp5,Lamp5.Lhx6,Ly6g6e,Macrophage,Meis2,NP,Oligo,PIR.Six3,POST.PRE.PAR.Ptgfr,Pvalb,RHP.Cplx3,RSP_ACA.IT.Scnn1a,RSP.ACA.L4.5.IT,Serpinf1,SMC,Sncg,Sncg.Ndnf.HPF,Sst,Sst.Chodl,SUB.Sp.Ndst4,Vip,VLMC
Sample_4_Adult_HT_090114_6__C76VFACXX,0.07122562408835525,0.02629893789349934,0.0,0.0,0.048094977308149635,0.010393158878797196,0.0,0.0,0.017836865665604898,0.021391920314982438,0.0,0.0,0.0,0.04622887327989034,0.006767594022891401,0.045376716751161575,0.13119416445634124,0.1353362028004942,0.0,0.01282127086612328,0.0,0.0,0.09635217703129391,0.0,0.0,0.0013050098943660365,0.0,0.0017953236487067692,0.04602318774724447,0.05087533956424416,0.0,0.0647761547046933,0.022831932794651098,0.0,0.03755830251805152,0.01995370078948814,0.0,0.032171164127130336,0.0,0.02392411453809795,0.0,0.0,0.02613879041036972,0.0033284959053716916
FCH5FFWBBXX_L6_HKMUSrtgRAAARAAPEI-116_1,0.06498026524033221,0.006207998315241783,0.002893093527427521,0.0,0.04718944318767449,0.0,0.0,0.0,0.013790315923168615,0.03873274142330236,0.0,0.0,0.023865985252421035,0.039777418305197855,0.027021476700903508,0.05606855916197076,0.09893217684200534,0.10853560250850391,0.0,0.012911848201144195,0.0,0.0,0.09905518892132982,0.0,0.0,0.002648041534971396,0.0,0.0,0.03910932329138274,0.08929029758517179,0.0,0.05303431151522374,0.029313243179888187,0.0,0.0,0.02367987083186021,0.001022922897484546,0.040122366350089325,0.0,0.019251024232154374,0.013594078416476361,0.0,0.0349414406097364,0.014030966044937412
FCH5FFWBBXX_L6_HKMUSrtgRAABRAAPEI-118_1,0.06457577683371324,0.0,0.009364928938412545,0.0,0.05566502758178525,0.0,0.0,0.0,0.019038413097521738,0.03362527571760568,0.0016903743103117458,0.0,0.02843605479567826,0.04796186641897058,0.03217194161912366,0.058029239492139534,0.08714824304389428,0.09707292338616455,0.0,0.009429932961807289,0.0,0.0,0.0952969430084078,0.0,0.0,0.0007472765601221826,0.0,0.0,0.044408057036277475,0.07935268011406348,0.0,0.05833864716154084,0.02856350362223121,0.0,0.0,0.021399804707581765,0.0,0.04703357089518579,0.0,0.019386356773669115,0.011863054613726822,0.0,0.03750891265193758,0.011891194658127793
FCH5FFWBBXX_L6_HKMUSrtgRAACRAAPEI-119_1,0.0685394017978727,0.0,0.0,0.0,0.05520508717328096,0.0,0.0,0.0,0.016829030828303566,0.04116338221471168,0.0,0.0,0.03291256825802159,0.03700212841571257,0.024669610580349853,0.041149402121007046,0.11068297196566754,0.10496546867244792,0.0,0.006560704447927713,0.0,0.0,0.09499744685530646,0.0,0.009120520208699174,0.0014399507364992027,0.0,0.0,0.0512995857588368,0.0923384808925348,0.005798198241478466,0.051211045055447595,0.021225403215930205,0.0,0.0,0.023278275897030416,0.0,0.03109555488710129,0.0,0.02533602323337332,0.010071022136007754,0.0,0.03182046029821133,0.011288276108239868
FCH5FFWBBXX_L5_HKMUSrtgRAADRAAPEI-121_1,0.06598065890535956,0.0,0.0026246479119590538,0.0,0.05345337663587511,0.0,0.0,0.0,0.014239568533735892,0.04420097806477133,0.0,0.0,0.030803616618068443,0.05405415930551559,0.03266296172340651,0.053234056848821654,0.08955610023767302,0.09352462521035501,0.0,0.013000343306469694,0.0,0.0,0.09400489607144803,0.0,0.0,0.0025038951601883937,0.0,0.0,0.056384244174032976,0.07824331655356202,0.0027558098402293593,0.05586209731150749,0.030132195092491824,0.0,0.0,0.0247397884573576,0.0,0.035763392564012425,0.0,0.02381552465187492,0.009036731149452883,0.0,0.029341572292471346,0.010081443379360138
FCH5FFWBBXX_L5_HKMUSrtgRAAERAAPEI-122_1,0.07099006285775307,0.0,0.0,0.0,0.0704131297143087,0.0,0.0,0.0,0.028957968546841312,0.038943871593676516,0.0,0.0,0.03484214538541835,0.054550952106144635,0.02173986860686889,0.050497853701978776,0.09046363717504778,0.09582668943557068,0.0,0.0008319865416508468,0.0,0.0,0.08664163603227372,0.0,0.0018106142043660246,0.0006350448817944157,0.0,0.0,0.05672339661042521,0.0799876551097013,0.0,0.05468594264818055,0.027025727994797587,0.0,0.0,0.030074636662624103,0.0,0.029039759347179683,0.0,0.019152335589444305,0.015209144557221686,0.0,0.03446742687588887,0.006488513820843121
FCH5FFWBBXX_L5_HKMUSrtgRAAFRAAPEI-123_1,0.07152983096877413,0.0047312465040002544,0.0,0.0,0.05708758005750375,0.0,0.0,0.0,0.019073749437023266,0.03639032991298844,0.0,0.0,0.027496142675917795,0.05260562950916751,0.03131138723637361,0.04366481028695664,0.09888550489959962,0.1007235181177031,0.0,0.005447902888586122,0.0,0.0,0.08898777467307119,0.0,0.006123772726370911,0.0031631523296575745,0.0,0.0,0.058316618486100855,0.08744943599482256,0.0,0.04691447701530854,0.016463973416058483,0.0,0.0,0.021452741826335574,0.0023612475319730853,0.03921486616611936,0.0,0.021036692945666114,0.014819299990069442,0.0,0.03851313228413146,0.00623518211972044
FCH5FFWBBXX_L5_HKMUSrtgRAAGRAAPEI-124_1,0.06466686832509386,0.005008588513128724,0.005280064044331235,0.0,0.053330407648276824,0.0,0.0,0.0,0.018422223389311317,0.030619696315576823,0.0,0.0,0.033843467683513324,0.050590487442963496,0.0284301770501047,0.04972954386998725,0.1008226016616659,0.10421910202037035,0.0,0.007578333359077453,0.0,0.0,0.09156836357723704,0.0,0.0005430526355135408,0.0036230795698211265,0.0,0.0,0.041859380927417866,0.08470302419268019,0.0,0.046097385719061364,0.024195902742238106,0.0,0.0,0.027414685366398704,0.0002165433219149784,0.03696959067188081,0.0,0.03391796872039271,0.007597345222498681,0.0,0.03804857077832419,0.010703545231219457
FCH5FFWBBXX_L5_HKMUSrtgRAAHRAAPEI-125_1,0.06598994425640577,0.0050098443685425206,0.0011337480252843568,0.0,0.050666705103844835,0.0,0.0,0.0,0.020022728100843875,0.027543273482330554,0.005757124591821173,0.0,0.027295534741288284,0.04851312287414303,0.030108505224204704,0.056452066117821054,0.09853257907098258,0.09952937273765243,0.0,0.0061797989044110315,0.0,0.0,0.10123457084715577,0.0,0.0,0.002162746742963328,0.0,0.0,0.046618296463189574,0.07817254744369646,0.0,0.05949884636707818,0.02430401332375713,0.0,0.0,0.02228277463708395,0.0,0.04220406850662246,0.0,0.018840165098585517,0.013463926752431086,0.0,0.04119639340271277,0.007287302815147569
FCH5FFWBBXX_L5_HKMUSrtgRAAIRAAPEI-126_1,0.06727134926304466,0.0,0.014382487121200414,0.0,0.05221181921935968,0.0,0.0,0.0,0.021460250721180487,0.030629254786884174,0.0,0.0,0.030320336434280448,0.04770419224027679,0.02280970026887211,0.05847406439885974,0.10001753125875247,0.10508263591438154,0.0,0.012652040979990054,0.0,0.0,0.09486837275566008,0.0,0.0,0.0027774924390945033,0.0,0.0,0.034496527389613285,0.0848895433972939,0.0,0.05289886807853219,0.0250171254301685,0.0,0.0,0.023221445510756927,0.0023950919795496252,0.03905343940963551,0.0,0.028668111740649146,0.004607361797371196,0.0,0.036572434858813514,0.007518522605779291
